"state","county","year","party","votes"
"IN","Cass",2000,"dem",5412
"IN","Clark",2000,"dem",17360
"IN","Clay",2000,"dem",3605
"IN","Clinton",2000,"dem",3643
"IN","Crawford",2000,"dem",1817
"IN","Daviess",2000,"dem",2697
"IN","Dearborn",2000,"dem",6020
"IN","Decatur",2000,"dem",2889
"IN","Dekalb",2000,"dem",4776
"IN","Delaware",2000,"dem",20876
"IN","Dubois",2000,"dem",5090
"IN","Elkhart",2000,"dem",16402
"IN","Fayette",2000,"dem",3415
"IN","Floyd",2000,"dem",13209
"IN","Fountain",2000,"dem",2717
"IN","Franklin",2000,"dem",2591
"IN","Fulton",2000,"dem",2960
"IN","Gibson",2000,"dem",5802
"IN","Grant",2000,"dem",9712
"IN","Greene",2000,"dem",4898
"IN","Hamilton",2000,"dem",18002
