STATE,COUNTY,BUSH,GORE,NADER,BUCHANAN,BROWNE,PHILLIPS,WRITEINS,HAGELIN,MCREYNOLDS,HARRIS,DODGE,NOTA,MOOREHEAD,BROWN,VENSON,YOUNGKEIT,LANE,OTHER
"Arkansas","Saline",18617,12700,533,336,114,45,0,46,0,0,0,0,0,0,0,0,0,1074
"Arkansas","Scott",2399,1444,48,69,9,9,0,3,0,0,0,0,0,0,0,0,0,138
"Arkansas","Searcy",2610,1229,83,72,27,25,0,12,0,0,0,0,0,0,0,0,0,219
"Arkansas","Sebastian",23483,15555,503,398,162,37,0,21,0,0,0,0,0,0,0,0,0,1121
"Arkansas","Sevier",2111,2095,55,23,7,1,0,1,0,0,0,0,0,0,0,0,0,87
"Arkansas","Sharp",3698,3236,115,46,11,14,0,6,0,0,0,0,0,0,0,0,0,192
"Arkansas","Stone",2623,2043,98,56,15,6,0,19,0,0,0,0,0,0,0,0,0,194
"Arkansas","Union",8647,6261,130,291,58,152,0,70,0,0,0,0,0,0,0,0,0,701
"Arkansas","Van Buren",3485,3202,153,89,32,13,0,10,0,0,0,0,0,0,0,0,0,297
"Arkansas","Washington",28231,21425,1208,325,187,51,0,32,0,0,0,0,0,0,0,0,0,1803
"Arkansas","White",13170,8342,243,260,88,20,0,27,0,0,0,0,0,0,0,0,0,638
"Arkansas","Woodruff",898,1699,19,21,9,2,0,3,0,0,0,0,0,0,0,0,0,54
"Arkansas","Yell",3223,3062,78,79,17,9,0,11,0,0,0,0,0,0,0,0,0,194
"California","Alameda",119279,342889,27499,1026,1910,1237,0,492,4,0,0,0,0,0,0,0,0,32168
"California","Alpine",281,265,25,8,6,1,0,0,0,0,0,0,0,0,0,0,0,40
"California","Amador",8766,5906,584,94,81,24,0,9,0,0,0,0,0,0,0,0,0,792
"California","Butte",45584,31338,5727,486,381,125,0,80,0,0,0,0,0,0,0,0,0,6799
"California","Calaveras",10599,7093,863,108,140,57,0,16,0,0,0,0,0,0,0,0,0,1184
"California","Colusa",3629,1745,151,38,12,12,0,3,0,0,0,0,0,0,0,0,0,216
"California","Contra Costa",141373,224338,13067,778,1290,346,0,286,0,0,0,0,0,0,0,0,0,15767
"California","Del Norte",4526,3117,485,65,52,36,0,13,0,0,0,0,0,0,0,0,0,651
"California","El Dorado",42045,26220,3013,337,334,115,0,72,0,0,0,0,0,0,0,0,0,3871
"California","Fresno",117342,95059,6541,1120,440,207,0,126,0,0,0,0,0,0,0,0,0,8434
"California","Glenn",5795,2498,268,96,38,13,0,3,0,0,0,0,0,0,0,0,0,418
"California","Humboldt",23219,24851,7100,329,324,82,0,67,0,0,0,0,0,0,0,0,0,7902
"California","Imperial",12524,15489,608,136,78,55,0,47,0,0,0,0,0,0,0,0,0,924
"California","Inyo",4713,2652,344,48,35,18,0,5,0,0,0,0,0,0,0,0,0,450
"California","Kern",110663,66003,3474,1194,568,293,0,113,0,0,0,0,0,0,0,0,0,5642
"California","Kings",16377,11041,567,212,83,44,0,11,0,0,0,0,0,0,0,0,0,917
"California","Lake",8699,10717,1265,99,95,27,0,17,0,0,0,0,0,0,0,0,0,1503
"California","Lassen",7080,2982,339,78,58,36,0,13,0,0,0,0,0,0,0,0,0,524
"California","Los Angeles",871930,1710505,83731,11526,11122,3744,0,2593,3,0,0,0,0,0,0,0,0,112719
"California","Madera",20283,11650,1080,227,86,52,0,17,0,0,0,0,0,0,0,0,0,1462
"California","Marin",34872,79135,8289,186,506,54,0,113,0,0,0,0,0,0,0,0,0,9148
"California","Mariposa",4727,2816,379,64,48,30,0,10,0,0,0,0,0,0,0,0,0,531
"California","Mendocino",12272,16634,5051,126,235,60,0,32,0,0,0,0,0,0,0,0,0,5504
"California","Merced",26102,22726,1166,248,95,66,0,15,0,0,0,0,0,0,0,0,0,1590
"California","Modoc",2969,945,122,23,30,14,0,4,0,0,0,0,0,0,0,0,0,193
"California","Mono",2296,1788,230,14,35,6,0,2,0,0,0,0,0,0,0,0,0,287
"California","Monterey",43761,67618,5059,340,429,234,0,93,0,0,0,0,0,0,0,0,0,6155
"California","Napa",20633,28097,2471,179,218,87,0,39,0,0,0,0,0,0,0,0,0,2994
"California","Nevada",25998,17670,3287,204,208,56,0,56,0,0,0,0,0,0,0,0,0,3811
"California","Orange",541299,391819,26833,4301,4839,950,0,864,0,0,0,0,0,0,0,0,0,37787
"California","Placer",69835,42449,4449,454,423,106,0,83,0,0,0,0,0,0,0,0,0,5515
"California","Plumas",6343,3458,456,67,53,18,0,6,0,0,0,0,0,0,0,0,0,600
"California","Riverside",231955,202576,11678,2244,1493,749,0,432,0,0,0,0,0,0,0,0,0,16596
"California","Sacramento",195619,212792,17659,2022,1607,1175,0,674,2,0,0,0,0,0,0,0,0,23139
"California","San Benito",7015,9131,535,41,62,35,0,12,0,0,0,0,0,0,0,0,0,685
"California","San Bernardino",221757,214749,11775,3027,1722,1347,1,515,0,0,0,0,0,0,0,0,0,18387
"California","San Diego",475736,437666,33979,4185,4423,1481,1,1160,3,0,0,0,0,0,0,0,0,45232
"California","San Francisco",51496,241578,24828,468,1043,150,0,208,15,0,0,0,0,0,0,0,0,26712
"California","San Joaquin",81773,79776,4195,722,400,249,0,124,0,0,0,0,0,0,0,0,0,5690
"California","San Luis Obispo",56859,44526,6523,290,478,110,4,96,0,0,0,0,0,0,0,0,0,7501
"California","San Mateo",80296,166757,10433,547,993,177,0,196,0,0,0,0,0,0,0,0,0,12346
"California","Santa Barbara",71493,73411,8664,404,676,120,0,206,0,0,0,0,0,0,0,0,0,10070
"California","Santa Clara",188750,332490,19072,1915,3386,1514,0,1002,0,0,0,0,0,0,0,0,0,26889
"California","Santa Cruz",29627,66618,10844,274,721,128,0,138,0,0,0,0,0,0,0,0,0,12105
"California","Shasta",43278,20127,2131,458,292,206,0,52,0,0,0,0,0,0,0,0,0,3139
"California","Sierra",1172,540,86,10,31,7,0,1,0,0,0,0,0,0,0,0,0,135
"California","Siskiyou",12198,6323,872,123,202,49,0,51,1,0,0,0,0,0,0,0,0,1298
"California","Solano",51604,75116,3869,471,400,203,0,72,0,0,0,0,0,0,0,0,0,5015
